mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.16679959297180175,0.0036547249653904245,0.034800052642822266,0.0007487109776769798,1.0,0.001,linear,"{'C': 1.0, 'gamma': 0.001, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.7043993949890137,0.016131906317122933,0.3140002727508545,0.02085262017758606,1.0,100.0,rbf,"{'C': 1.0, 'gamma': 100.0, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.36099915504455565,0.01460093529527364,0.12679924964904785,0.020701828965863315,10.0,0.1,rbf,"{'C': 10.0, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.17839932441711426,0.0034416814637418143,0.03699951171875,0.0022811894552364266,10.0,0.1,linear,"{'C': 10.0, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.2749992847442627,0.005440413067302251,0.09700002670288085,0.0022808339437149746,10.0,0.01,rbf,"{'C': 10.0, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.17599968910217284,0.006261267815496311,0.037599611282348636,0.0014971160157852027,10.0,0.01,linear,"{'C': 10.0, 'gamma': 0.01, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.22979936599731446,0.0058451719476649315,0.10580010414123535,0.0037091350382428513,10.0,0.001,rbf,"{'C': 10.0, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.17021994590759276,0.002965019961287086,0.035979270935058594,0.0016983359794572291,10.0,0.001,linear,"{'C': 10.0, 'gamma': 0.001, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.1753988742828369,0.006343535503278267,0.03620047569274902,0.0024816205796326,1.0,100.0,linear,"{'C': 1.0, 'gamma': 100.0, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.1697995185852051,0.004070094389377731,0.036200666427612306,0.001469140055883002,1.0,0.01,linear,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.6075997829437256,0.010365342005300362,0.29901800155639646,0.00687495843652211,1.0,10.0,rbf,"{'C': 1.0, 'gamma': 10.0, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.17580122947692872,0.0015985022473651203,0.03639798164367676,0.002498884462573481,1.0,10.0,linear,"{'C': 1.0, 'gamma': 10.0, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.49360036849975586,0.013922782360911877,0.24028429985046387,0.006868105404601818,1.0,1.0,rbf,"{'C': 1.0, 'gamma': 1.0, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.17659931182861327,0.0033822112114990765,0.03639979362487793,0.0020590138985173137,1.0,1.0,linear,"{'C': 1.0, 'gamma': 1.0, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.37784633636474607,0.0028235947839150436,0.15156641006469726,0.003975487671045663,1.0,0.1,rbf,"{'C': 1.0, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.17659902572631836,0.006182878964205162,0.03641653060913086,0.0025875407078450267,1.0,0.1,linear,"{'C': 1.0, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.17639975547790526,0.0014978547862505448,0.03679966926574707,0.0017204184555663243,10.0,1.0,linear,"{'C': 10.0, 'gamma': 1.0, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.393200159072876,0.00886365212467979,0.13179993629455566,0.00365605306453094,10.0,1.0,rbf,"{'C': 10.0, 'gamma': 1.0, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.18079967498779298,0.008908272965435934,0.0391995906829834,0.0023157781887697504,10.0,10.0,linear,"{'C': 10.0, 'gamma': 10.0, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.4799981594085693,0.004289945190006141,0.16240034103393555,0.002415948816103879,10.0,10.0,rbf,"{'C': 10.0, 'gamma': 10.0, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.16999993324279786,0.0024501299047467897,0.035599279403686526,0.0010203661452057406,10.0,100.0,linear,"{'C': 10.0, 'gamma': 100.0, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.5393987178802491,0.012354724535744403,0.16540040969848632,0.003877678692468014,10.0,100.0,rbf,"{'C': 10.0, 'gamma': 100.0, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.1689995288848877,0.004857552554952629,0.035800504684448245,0.0011665966269647694,100.0,0.001,linear,"{'C': 100.0, 'gamma': 0.001, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.22319974899291992,0.002714197921010402,0.08180122375488282,0.0009806999763375217,100.0,0.001,rbf,"{'C': 100.0, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.17419986724853515,0.00597993669404887,0.037799930572509764,0.0024825465291286905,100.0,0.01,linear,"{'C': 100.0, 'gamma': 0.01, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.26719913482666013,0.005192379339204776,0.09720077514648437,0.002314654329203856,100.0,0.01,rbf,"{'C': 100.0, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.17460031509399415,0.008428307015900484,0.04320030212402344,0.008280519335025625,100.0,0.1,linear,"{'C': 100.0, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.3937989234924316,0.01026352201260169,0.1286003589630127,0.009478324271343779,100.0,0.1,rbf,"{'C': 100.0, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.1845991611480713,0.01429128528321442,0.04060006141662598,0.0032000244257475077,100.0,1.0,linear,"{'C': 100.0, 'gamma': 1.0, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.4311999320983887,0.010380854339487435,0.15200023651123046,0.011679501093769667,100.0,1.0,rbf,"{'C': 100.0, 'gamma': 1.0, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.19259934425354003,0.008754221121731005,0.042400169372558597,0.005462202458343464,100.0,10.0,linear,"{'C': 100.0, 'gamma': 10.0, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.5310421466827393,0.01169553290670294,0.17095704078674318,0.007169694400339073,100.0,10.0,rbf,"{'C': 100.0, 'gamma': 10.0, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.19221920967102052,0.018624466635517624,0.040399694442749025,0.005323854963084847,100.0,100.0,linear,"{'C': 100.0, 'gamma': 100.0, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.28039979934692383,0.003136957298576862,0.1268004894256592,0.0014697691615673202,1.0,0.01,rbf,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.5348456382751465,0.052168138813579935,0.15055289268493652,0.020980697988799955,100.0,100.0,rbf,"{'C': 100.0, 'gamma': 100.0, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.16699910163879395,0.004049598028352219,0.03640027046203613,0.00162482513475118,0.1,100.0,linear,"{'C': 0.1, 'gamma': 100.0, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.16999878883361816,0.0022805621657935905,0.03701868057250977,0.0006335057136681576,0.1,10.0,linear,"{'C': 0.1, 'gamma': 10.0, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.1921997547149658,0.007806851474985224,0.03899927139282226,0.002756506344000304,0.1,1.0,linear,"{'C': 0.1, 'gamma': 1.0, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.18069238662719728,0.0043857101718832925,0.03930816650390625,0.0033666301633971975,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.17339959144592285,0.0027989117532266562,0.036200523376464844,0.0004005435818715894,0.1,0.01,linear,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.16479854583740233,0.002400422386931704,0.04340033531188965,0.011976109582148783,0.1,0.001,linear,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
3.4880182266235353,0.040970891971474035,1.7647804737091064,0.06449959233484324,0.001,0.01,rbf,"{'C': 0.001, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,1.0,1.0,0.9969512195121951,1.0,0.999390243902439,0.0012195121951219523,42
4.0733989715576175,0.34247667550924266,2.1270002841949465,0.22428518368164266,0.01,0.01,rbf,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,1.0,1.0,0.9969512195121951,1.0,0.999390243902439,0.0012195121951219523,42
3.5529996871948244,0.02801476055743099,1.8946000576019286,0.07998571653451968,0.001,0.001,rbf,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,0.9989837398373984,1.0,0.9969512195121951,1.0,0.9991869918699188,0.0011851528241555488,44
3.6303991317749023,0.22354432706732272,1.787999725341797,0.02076531805851094,0.01,0.001,rbf,"{'C': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,0.9989837398373984,1.0,0.9969512195121951,1.0,0.9991869918699188,0.0011851528241555488,44
1.9127031326293946,0.03926430559259929,1.3686957359313965,0.013681298131569415,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,0.9989837398373984,1.0,0.9969512195121951,1.0,0.9991869918699188,0.0011851528241555488,44
0.2163987636566162,0.025530630761298405,0.06340045928955078,0.005783481422841561,0.01,0.01,linear,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'linear'}",1.0,1.0,1.0,0.9969512195121951,0.9979674796747967,0.9989837398373984,0.0012854787236456899,47
0.18139963150024413,0.002416232838061887,0.0529998779296875,0.0010956271373233867,0.01,10.0,linear,"{'C': 0.01, 'gamma': 10.0, 'kernel': 'linear'}",1.0,1.0,1.0,0.9969512195121951,0.9979674796747967,0.9989837398373984,0.0012854787236456899,47
0.18799972534179688,0.011313545996802319,0.057799911499023436,0.006911223982015664,0.01,100.0,linear,"{'C': 0.01, 'gamma': 100.0, 'kernel': 'linear'}",1.0,1.0,1.0,0.9969512195121951,0.9979674796747967,0.9989837398373984,0.0012854787236456899,47
0.8182013034820557,0.0187664947337667,0.4659989356994629,0.011865857490092713,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,1.0,1.0,0.9969512195121951,0.9979674796747967,0.9989837398373984,0.0012854787236456899,47
0.23119993209838868,0.029477883541024538,0.06320242881774903,0.011395329038660012,0.01,0.1,linear,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,0.9969512195121951,0.9979674796747967,0.9989837398373984,0.0012854787236456899,47
0.17719955444335939,0.0034870579854006517,0.05500030517578125,0.0032866780126898543,0.01,0.001,linear,"{'C': 0.01, 'gamma': 0.001, 'kernel': 'linear'}",1.0,1.0,1.0,0.9969512195121951,0.9979674796747967,0.9989837398373984,0.0012854787236456899,47
0.21200027465820312,0.016223510201932915,0.056599092483520505,0.0030721084067083363,0.01,1.0,linear,"{'C': 0.01, 'gamma': 1.0, 'kernel': 'linear'}",1.0,1.0,1.0,0.9969512195121951,0.9979674796747967,0.9989837398373984,0.0012854787236456899,47
0.43762431144714353,0.007886802993478912,0.33797640800476075,0.005729215565567407,1.0,0.001,rbf,"{'C': 1.0, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,0.9989837398373984,1.0,0.9969512195121951,0.9979674796747967,0.998780487804878,0.0011851528241555564,54
0.4605998516082764,0.006530478707884408,0.21020083427429198,0.005635739347940488,0.001,100.0,linear,"{'C': 0.001, 'gamma': 100.0, 'kernel': 'linear'}",0.9969512195121951,0.9989837398373984,1.0,0.9969512195121951,0.9979674796747967,0.9981707317073172,0.0011851528241555564,55
0.5944004058837891,0.06359601741849022,0.3144393444061279,0.06181301114497511,0.001,0.001,linear,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'linear'}",0.9969512195121951,0.9989837398373984,1.0,0.9969512195121951,0.9979674796747967,0.9981707317073172,0.0011851528241555564,55
0.46837940216064455,0.00393049739908117,0.22139973640441896,0.008867016736238409,0.001,0.1,linear,"{'C': 0.001, 'gamma': 0.1, 'kernel': 'linear'}",0.9969512195121951,0.9989837398373984,1.0,0.9969512195121951,0.9979674796747967,0.9981707317073172,0.0011851528241555564,55
0.4735995292663574,0.013454759091404657,0.21742491722106932,0.009252936825998774,0.001,10.0,linear,"{'C': 0.001, 'gamma': 10.0, 'kernel': 'linear'}",0.9969512195121951,0.9989837398373984,1.0,0.9969512195121951,0.9979674796747967,0.9981707317073172,0.0011851528241555564,55
0.5176011085510254,0.025208225042921754,0.239998197555542,0.0140003547299765,0.001,0.01,linear,"{'C': 0.001, 'gamma': 0.01, 'kernel': 'linear'}",0.9969512195121951,0.9989837398373984,1.0,0.9969512195121951,0.9979674796747967,0.9981707317073172,0.0011851528241555564,55
0.46880359649658204,0.015594179831615158,0.2145988941192627,0.003879329828630668,0.001,1.0,linear,"{'C': 0.001, 'gamma': 1.0, 'kernel': 'linear'}",0.9969512195121951,0.9989837398373984,1.0,0.9969512195121951,0.9979674796747967,0.9981707317073172,0.0011851528241555564,55
1.354000997543335,0.020600100543002674,0.6993994235992431,0.020605633833437564,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9664634146341463,0.9735772357723578,0.9888211382113821,0.9796747967479674,0.9796747967479674,0.9776422764227641,0.007412431922280662,61
3.8648001194000243,0.08080760910460298,1.9427995204925537,0.125784852034959,0.01,0.1,rbf,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",0.9563008130081301,0.9745934959349594,0.9766260162601627,0.9644308943089431,0.9634146341463414,0.9670731707317074,0.007539527232110345,62
3.569378614425659,0.05954039872765097,1.7522212505340575,0.049471752209521797,0.001,0.1,rbf,"{'C': 0.001, 'gamma': 0.1, 'kernel': 'rbf'}",0.9563008130081301,0.9745934959349594,0.9766260162601627,0.9644308943089431,0.9634146341463414,0.9670731707317074,0.007539527232110345,62
1.72919921875,0.01734865827012754,0.8947994232177734,0.011686623557078215,0.1,1.0,rbf,"{'C': 0.1, 'gamma': 1.0, 'kernel': 'rbf'}",0.866869918699187,0.8943089430894309,0.9014227642276422,0.8841463414634146,0.8800813008130082,0.8853658536585366,0.011910638474783417,64
2.7652239322662355,0.02886529480241053,1.1655755043029785,0.01817402650564451,0.1,100.0,rbf,"{'C': 0.1, 'gamma': 100.0, 'kernel': 'rbf'}",0.8546747967479674,0.8892276422764228,0.9044715447154471,0.8709349593495935,0.8678861788617886,0.877439024390244,0.017444187838313276,65
2.353200101852417,0.02286903453447344,1.1409996032714844,0.0180776744829649,0.1,10.0,rbf,"{'C': 0.1, 'gamma': 10.0, 'kernel': 'rbf'}",0.8546747967479674,0.8892276422764228,0.9044715447154471,0.8709349593495935,0.8678861788617886,0.877439024390244,0.017444187838313276,65
3.505770683288574,0.022759758127118043,1.7480292797088623,0.023777271129603903,0.001,1.0,rbf,"{'C': 0.001, 'gamma': 1.0, 'kernel': 'rbf'}",0.8526422764227642,0.875,0.8882113821138211,0.866869918699187,0.866869918699187,0.8699186991869918,0.011640504929492961,67
3.5909995555877687,0.08752398303916832,1.7578378677368165,0.02161088064281863,0.01,1.0,rbf,"{'C': 0.01, 'gamma': 1.0, 'kernel': 'rbf'}",0.8526422764227642,0.875,0.8882113821138211,0.866869918699187,0.866869918699187,0.8699186991869918,0.011640504929492961,67
4.660999441146851,0.05396313914324328,2.2498289585113525,0.05290232995402711,0.001,10.0,rbf,"{'C': 0.001, 'gamma': 10.0, 'kernel': 'rbf'}",0.8384146341463414,0.8607723577235772,0.8353658536585366,0.8577235772357723,0.8241869918699187,0.8432926829268294,0.013895662304989577,69
5.238399076461792,0.030215806879264423,2.2254005432128907,0.06461168431388759,0.001,100.0,rbf,"{'C': 0.001, 'gamma': 100.0, 'kernel': 'rbf'}",0.8384146341463414,0.8607723577235772,0.8353658536585366,0.8577235772357723,0.8241869918699187,0.8432926829268294,0.013895662304989577,69
4.706999444961548,0.03601089206496161,2.2417999744415282,0.03666814183067454,0.01,10.0,rbf,"{'C': 0.01, 'gamma': 10.0, 'kernel': 'rbf'}",0.8384146341463414,0.8607723577235772,0.8353658536585366,0.8577235772357723,0.8241869918699187,0.8432926829268294,0.013895662304989577,69
5.273798990249634,0.05773213140103744,2.2098167896270753,0.034494096114069873,0.01,100.0,rbf,"{'C': 0.01, 'gamma': 100.0, 'kernel': 'rbf'}",0.8384146341463414,0.8607723577235772,0.8353658536585366,0.8577235772357723,0.8241869918699187,0.8432926829268294,0.013895662304989577,69
